duration,campaign,poutcome
687,2,unknown
537,1,unknown
781,1,unknown
645,1,unknown
1242,1,unknown
662,1,unknown
625,1,unknown
426,3,unknown
869,1,unknown
556,5,unknown
359,5,unknown
1014,1,unknown
1290,4,unknown
564,5,unknown
1439,6,unknown
919,2,unknown
1426,3,unknown
901,1,unknown
998,4,unknown
804,1,unknown
961,1,unknown
720,2,unknown
1341,7,unknown
634,1,unknown
829,5,unknown
476,4,unknown
724,1,unknown
500,1,unknown
2029,1,unknown
1499,3,unknown
1399,1,unknown
1187,3,unknown
487,1,unknown
1097,3,unknown
1060,2,unknown
764,2,unknown
1120,2,unknown
963,2,unknown
1973,2,unknown
911,2,unknown
853,2,unknown
1649,2,unknown
1397,3,unknown
766,3,unknown
788,2,unknown
1130,3,unknown
1062,4,unknown
1669,2,unknown
1336,4,unknown
444,3,unknown
894,7,unknown
805,3,unknown
1056,2,unknown
815,4,unknown
808,3,unknown
860,4,unknown
881,1,unknown
981,1,unknown
1001,3,unknown
514,5,unknown
716,3,unknown
769,4,unknown
889,5,unknown
448,5,unknown
767,5,unknown
578,1,unknown
1806,4,unknown
496,1,unknown
586,1,unknown
689,1,unknown
555,1,unknown
686,6,unknown
435,1,unknown
873,2,unknown
1222,1,unknown
988,1,unknown
1019,11,unknown
709,2,unknown
561,9,unknown
1018,2,unknown
1039,2,unknown
781,2,unknown
1656,5,unknown
923,2,unknown
1275,1,unknown
342,2,unknown
1008,2,unknown
538,2,unknown
795,1,unknown
1027,1,unknown
1584,2,unknown
582,2,unknown
1448,7,unknown
656,3,unknown
1208,1,unknown
1175,2,unknown
536,5,unknown
991,5,unknown
1153,4,unknown
623,3,unknown
1081,2,unknown
978,1,unknown
536,1,unknown
968,1,unknown
278,2,unknown
560,1,unknown
640,3,unknown
420,1,unknown
658,2,unknown
641,1,unknown
635,3,unknown
588,7,unknown
1373,4,unknown
913,4,unknown
799,2,unknown
1139,2,unknown
1105,2,unknown
854,1,unknown
919,2,unknown
733,3,unknown
553,1,unknown
710,1,unknown
891,4,unknown
691,10,unknown
1877,1,unknown
1130,8,unknown
577,2,unknown
1342,2,unknown
1002,3,unknown
985,11,unknown
1360,3,unknown
1134,5,unknown
712,6,unknown
1077,1,unknown
560,1,unknown
1545,1,unknown
654,2,unknown
1833,2,unknown
1508,1,unknown
598,5,unknown
1237,7,unknown
864,4,unknown
1037,8,unknown
802,11,unknown
754,1,unknown
870,1,unknown
633,1,unknown
690,1,unknown
529,1,unknown
1152,2,unknown
956,9,unknown
957,3,unknown
1327,2,unknown
228,2,unknown
808,1,unknown
638,2,unknown
1201,6,unknown
1309,4,unknown
1359,6,unknown
416,4,unknown
532,2,unknown
430,4,unknown
853,2,unknown
1204,1,unknown
1484,24,unknown
1441,2,unknown
454,1,unknown
651,1,unknown
1491,2,unknown
903,1,unknown
873,8,unknown
901,2,unknown
821,2,unknown
367,2,unknown
458,9,unknown
1602,6,unknown
1492,2,unknown
1422,2,unknown
728,2,unknown
979,2,unknown
616,5,unknown
784,1,unknown
1000,1,unknown
695,1,unknown
1946,4,unknown
362,8,unknown
743,13,unknown
2015,1,unknown
1031,8,unknown
590,8,unknown
1330,3,unknown
946,3,unknown
1448,17,unknown
279,4,unknown
661,4,unknown
1369,9,unknown
653,4,unknown
458,7,unknown
664,8,unknown
699,3,unknown
939,3,unknown
1169,2,unknown
837,3,unknown
596,4,unknown
383,3,unknown
1009,7,unknown
1096,4,unknown
867,2,unknown
551,3,unknown
890,4,unknown
874,2,unknown
710,2,unknown
600,2,unknown
2516,2,unknown
1058,2,unknown
884,1,unknown
616,13,unknown
808,3,unknown
1011,6,unknown
1013,29,unknown
684,2,unknown
843,2,unknown
542,2,unknown
788,2,unknown
988,2,unknown
814,2,unknown
694,2,unknown
441,5,unknown
1171,4,unknown
729,4,unknown
509,2,unknown
1089,4,unknown
1211,2,unknown
458,3,unknown
540,8,unknown
761,4,unknown
695,2,unknown
764,4,unknown
675,3,unknown
782,8,unknown
962,4,unknown
481,3,unknown
812,3,unknown
630,6,unknown
1088,17,unknown
1150,5,unknown
574,2,unknown
725,4,unknown
463,6,unknown
662,13,unknown
727,4,unknown
1107,2,unknown
829,4,unknown
1212,4,unknown
1142,5,unknown
1721,5,unknown
1032,4,unknown
846,1,unknown
870,1,unknown
1165,1,unknown
1110,1,unknown
1488,2,unknown
603,3,unknown
641,2,unknown
837,2,unknown
553,1,unknown
794,1,unknown
836,1,unknown
1134,1,unknown
607,3,unknown
1536,1,unknown
515,3,unknown
935,1,unknown
1051,2,unknown
1200,2,unknown
531,3,unknown
766,2,unknown
1311,2,unknown
618,2,unknown
875,2,unknown
419,3,unknown
1227,2,unknown
1357,4,unknown
455,4,unknown
406,2,unknown
902,3,unknown
740,2,unknown
501,2,unknown
835,2,unknown
720,2,unknown
836,4,unknown
490,2,unknown
763,2,unknown
649,4,unknown
641,6,unknown
738,2,unknown
1044,4,unknown
482,2,unknown
1249,4,unknown
996,1,unknown
1250,4,unknown
1471,7,unknown
1456,3,unknown
395,2,unknown
663,4,unknown
674,2,unknown
526,2,unknown
401,3,unknown
1321,9,unknown
797,2,unknown
352,2,unknown
670,1,unknown
429,3,unknown
1182,1,unknown
876,1,unknown
895,3,unknown
341,5,unknown
994,2,unknown
507,4,unknown
317,4,unknown
512,4,unknown
809,2,unknown
523,2,unknown
669,2,unknown
780,4,unknown
459,2,unknown
1000,1,unknown
733,3,unknown
848,1,unknown
1242,3,unknown
922,7,unknown
1206,4,unknown
856,3,unknown
386,4,unknown
384,6,unknown
1070,2,unknown
610,4,unknown
699,7,unknown
917,4,unknown
608,2,unknown
734,4,unknown
1238,1,unknown
1242,5,unknown
444,3,unknown
418,5,unknown
1080,3,unknown
479,1,unknown
645,2,unknown
506,2,unknown
768,2,unknown
1134,2,unknown
396,3,unknown
507,2,unknown
439,4,unknown
1133,4,unknown
587,2,unknown
696,2,unknown
645,8,unknown
473,6,unknown
559,4,unknown
1092,5,unknown
453,3,unknown
1307,4,unknown
1344,1,unknown
432,3,unknown
1613,1,unknown
664,3,unknown
1735,4,unknown
940,10,unknown
1842,2,unknown
969,2,unknown
823,2,unknown
618,9,unknown
526,2,unknown
846,5,unknown
1149,6,unknown
665,2,unknown
641,4,unknown
404,6,unknown
657,7,unknown
737,4,unknown
871,4,unknown
838,4,unknown
379,6,unknown
851,8,unknown
990,1,unknown
529,1,unknown
1148,2,unknown
904,6,unknown
707,2,unknown
632,4,unknown
593,4,unknown
552,2,unknown
857,2,unknown
518,2,unknown
834,14,unknown
1184,4,unknown
1151,2,unknown
1231,4,unknown
904,3,unknown
1871,3,unknown
773,4,unknown
762,3,unknown
671,4,unknown
638,6,unknown
594,4,unknown
625,4,unknown
882,8,unknown
528,5,unknown
309,4,unknown
471,8,unknown
520,7,unknown
1576,8,unknown
504,7,unknown
998,6,unknown
194,2,unknown
645,14,unknown
1293,8,unknown
950,6,unknown
1032,3,unknown
836,3,unknown
480,1,unknown
921,2,unknown
467,2,unknown
552,5,unknown
875,4,unknown
588,6,unknown
1408,5,unknown
921,6,unknown
627,2,unknown
625,6,unknown
703,2,unknown
1503,2,unknown
644,4,unknown
913,4,unknown
788,6,unknown
946,4,unknown
1532,2,unknown
793,10,unknown
81,1,unknown
1877,3,unknown
1123,4,unknown
576,2,unknown
579,2,unknown
520,2,unknown
1258,2,unknown
528,2,unknown
686,2,unknown
604,6,unknown
1241,11,unknown
735,1,unknown
626,3,unknown
363,7,unknown
961,4,unknown
472,6,unknown
1152,6,unknown
606,6,unknown
497,5,unknown
630,7,unknown
366,3,unknown
1374,10,unknown
372,5,unknown
664,11,unknown
388,6,unknown
428,2,unknown
609,13,unknown
581,6,unknown
1033,4,unknown
1040,6,unknown
672,6,unknown
512,8,unknown
976,12,unknown
645,9,unknown
523,3,unknown
1642,3,unknown
583,17,unknown
965,4,unknown
2372,6,unknown
1126,4,unknown
908,1,unknown
643,2,unknown
695,2,unknown
270,1,unknown
235,1,unknown
3253,1,unknown
478,1,unknown
133,1,unknown
312,1,unknown
718,1,unknown
2016,1,unknown
294,1,unknown
519,1,other
144,1,failure
187,1,unknown
676,1,unknown
157,1,unknown
181,1,unknown
313,1,unknown
80,1,unknown
134,1,unknown
518,1,success
112,1,unknown
97,1,unknown
305,1,unknown
228,1,unknown
376,1,unknown
131,1,unknown
251,1,unknown
125,1,unknown
135,1,unknown
540,1,unknown
171,1,unknown
11,1,unknown
248,1,unknown
234,1,unknown
132,1,unknown
154,1,unknown
160,1,unknown
227,1,unknown
158,1,unknown
615,1,unknown
399,1,unknown
465,1,unknown
268,1,unknown
253,1,unknown
669,1,unknown
234,1,unknown
150,1,unknown
154,1,unknown
299,1,unknown
524,1,unknown
248,1,unknown
486,1,unknown
158,1,unknown
114,1,failure
378,1,unknown
494,1,unknown
90,1,unknown
160,1,unknown
239,1,unknown
162,1,unknown
132,1,unknown
172,1,unknown
160,1,unknown
179,1,unknown
1789,1,unknown
1077,1,unknown
564,1,unknown
1303,1,unknown
696,2,unknown
761,1,unknown
540,2,unknown
1091,2,success
1210,2,failure
652,2,failure
454,1,unknown
514,2,unknown
1978,1,unknown
854,1,unknown
1164,2,unknown
676,1,unknown
486,1,unknown
596,1,other
924,1,unknown
897,3,unknown
1855,1,unknown
1034,1,unknown
578,2,unknown
1181,2,unknown
716,2,other
1437,2,unknown
482,1,unknown
898,1,unknown
1122,4,unknown
511,1,unknown
1554,1,unknown
686,1,unknown
925,1,unknown
1015,1,other
489,3,unknown
694,2,unknown
853,1,unknown
561,1,unknown
424,2,other
998,1,unknown
1057,1,unknown
522,1,success
472,1,unknown
623,1,other
337,1,unknown
589,2,unknown
644,4,unknown
1792,2,unknown
1468,3,unknown
709,2,unknown
639,2,success
1720,3,unknown
276,1,failure
477,1,unknown
670,1,unknown
405,1,unknown
531,1,unknown
628,1,unknown
1192,1,unknown
283,1,unknown
454,1,unknown
728,1,unknown
993,1,unknown
755,1,other
994,1,failure
1503,2,unknown
871,5,unknown
329,4,unknown
531,1,failure
931,4,unknown
593,1,unknown
691,1,unknown
1258,2,other
677,1,unknown
1490,3,unknown
562,2,unknown
705,1,unknown
1035,1,unknown
736,1,unknown
253,1,unknown
888,2,failure
370,2,other
500,2,failure
488,1,unknown
1025,2,unknown
768,3,unknown
758,1,unknown
653,1,unknown
841,2,unknown
871,3,unknown
952,2,unknown
1341,3,failure
1598,4,unknown
945,2,unknown
1059,2,unknown
615,3,failure
517,1,unknown
714,1,unknown
729,1,unknown
591,1,failure
1158,9,unknown
614,1,unknown
558,1,unknown
530,1,failure
648,1,unknown
609,2,unknown
530,1,unknown
529,1,unknown
641,1,unknown
957,1,failure
758,1,unknown
963,1,unknown
796,5,failure
1022,1,unknown
553,3,unknown
372,1,unknown
849,1,unknown
555,4,unknown
316,3,other
850,1,unknown
749,2,unknown
902,1,other
1074,1,unknown
980,2,unknown
549,2,unknown
654,1,unknown
834,1,unknown
1571,1,unknown
664,3,unknown
579,9,unknown
373,3,unknown
504,2,failure
314,4,unknown
663,4,unknown
681,4,unknown
808,2,unknown
775,3,unknown
705,6,unknown
965,2,unknown
1222,2,unknown
534,2,unknown
1555,2,unknown
925,5,unknown
8,1,unknown
119,1,unknown
1387,1,unknown
1232,1,unknown
829,1,unknown
769,1,unknown
1199,2,unknown
1451,2,unknown
944,3,unknown
968,2,unknown
1101,1,unknown
470,1,unknown
801,1,unknown
750,1,unknown
1165,1,unknown
1473,1,unknown
692,2,unknown
1917,2,unknown
1451,1,unknown
2770,1,unknown
771,1,unknown
726,2,unknown
931,1,unknown
922,5,unknown
1776,2,unknown
707,2,other
1136,2,unknown
215,1,failure
803,1,unknown
781,1,unknown
125,1,unknown
1086,1,unknown
749,1,unknown
699,1,failure
492,1,unknown
588,1,unknown
935,1,unknown
430,1,unknown
302,1,unknown
177,1,unknown
626,1,unknown
938,1,unknown
521,1,unknown
670,3,unknown
285,1,unknown
402,1,unknown
751,2,failure
1420,3,unknown
1425,2,unknown
1223,2,unknown
467,2,unknown
289,2,other
297,1,unknown
369,1,unknown
189,1,unknown
360,1,unknown
251,1,unknown
650,1,unknown
261,1,failure
152,2,other
157,1,unknown
1393,1,unknown
261,1,unknown
372,1,unknown
182,2,success
1404,4,unknown
1776,2,unknown
546,3,failure
489,1,unknown
192,2,unknown
426,2,unknown
736,1,unknown
1416,1,unknown
193,2,unknown
80,2,unknown
136,3,unknown
1579,1,failure
572,2,other
1164,1,failure
133,4,unknown
974,1,unknown
136,4,unknown
467,1,unknown
1226,1,unknown
206,1,unknown
765,2,unknown
976,2,unknown
945,2,unknown
1290,2,unknown
146,3,unknown
1381,4,unknown
1121,2,unknown
2775,2,unknown
128,3,unknown
676,1,unknown
699,1,unknown
642,1,failure
810,1,failure
1916,2,other
578,1,unknown
656,1,unknown
686,2,other
158,3,unknown
744,3,unknown
1017,4,unknown
1661,2,unknown
1138,2,unknown
136,10,unknown
263,8,unknown
550,4,unknown
1019,2,unknown
158,1,success
751,1,unknown
141,1,unknown
192,2,unknown
178,1,unknown
860,2,unknown
156,1,unknown
984,2,unknown
241,2,unknown
591,8,unknown
229,6,unknown
787,3,other
912,3,unknown
1183,2,unknown
1541,1,unknown
126,1,success
479,1,unknown
190,1,unknown
123,1,unknown
253,21,unknown
835,3,unknown
1971,4,unknown
97,1,failure
277,1,unknown
154,1,unknown
147,1,unknown
503,1,unknown
515,1,unknown
154,2,success
132,6,unknown
446,1,unknown
354,2,unknown
152,2,unknown
109,3,unknown
280,4,unknown
227,1,unknown
118,4,failure
262,1,unknown
165,2,unknown
99,1,unknown
121,1,unknown
119,1,unknown
71,1,unknown
75,3,unknown
158,2,failure
152,3,unknown
439,5,unknown
706,1,unknown
138,2,unknown
93,5,unknown
127,1,other
261,2,unknown
170,2,unknown
91,3,unknown
138,2,unknown
331,1,unknown
92,2,unknown
232,2,unknown
88,1,unknown
104,1,unknown
127,1,unknown
221,2,unknown
226,1,unknown
120,1,unknown
185,1,unknown
323,1,unknown
113,1,unknown
202,4,unknown
466,4,unknown
475,1,unknown
147,1,unknown
172,10,unknown
343,1,unknown
185,1,unknown
134,2,unknown
83,3,unknown
355,3,unknown
442,2,unknown
208,4,unknown
268,5,unknown
654,3,unknown
245,1,unknown
152,1,unknown
367,1,unknown
361,1,unknown
210,2,unknown
97,1,unknown
195,1,success
194,1,failure
412,5,unknown
353,1,unknown
172,1,unknown
342,2,unknown
131,2,unknown
87,2,unknown
115,1,unknown
156,1,unknown
79,1,unknown
233,1,other
712,4,unknown
378,4,unknown
116,1,unknown
239,1,unknown
175,5,unknown
120,3,unknown
382,2,unknown
143,2,unknown
631,1,unknown
83,1,unknown
499,1,unknown
350,3,unknown
426,1,unknown
320,1,unknown
156,1,unknown
168,1,unknown
180,2,unknown
305,13,unknown
96,2,unknown
377,6,unknown
82,3,unknown
308,2,failure
63,2,unknown
181,1,unknown
106,1,unknown
112,2,failure
199,5,unknown
195,1,unknown
229,1,unknown
227,1,unknown
266,1,unknown
207,2,success
131,4,unknown
116,1,unknown
217,2,unknown
350,2,failure
112,1,unknown
80,1,unknown
106,1,unknown
272,1,unknown
122,1,unknown
135,1,unknown
93,1,unknown
266,2,unknown
95,4,unknown
126,1,unknown
323,1,unknown
188,3,unknown
101,1,unknown
80,4,unknown
80,2,unknown
119,1,unknown
139,1,unknown
1209,2,unknown
3076,1,unknown
296,2,unknown
392,4,unknown
406,2,failure
220,1,unknown
195,1,unknown
187,1,unknown
299,2,unknown
325,2,unknown
232,2,failure
278,2,unknown
194,1,unknown
224,1,unknown
201,1,unknown
167,1,unknown
220,3,unknown
415,1,unknown
115,1,unknown
132,1,unknown
144,2,unknown
170,3,unknown
269,3,unknown
115,1,unknown
96,2,unknown
278,8,unknown
411,2,unknown
117,2,unknown
475,1,unknown
95,2,failure
515,1,unknown
300,1,unknown
342,1,unknown
243,3,other
234,2,unknown
271,2,unknown
180,2,unknown
1081,2,unknown
163,2,unknown
237,3,unknown
158,2,unknown
351,3,unknown
1176,1,unknown
1196,1,unknown
165,2,unknown
387,2,unknown
739,2,unknown
243,3,unknown
313,3,unknown
1164,1,unknown
397,2,unknown
268,1,unknown
707,1,failure
117,1,unknown
939,1,unknown
296,1,failure
1203,2,failure
475,6,failure
583,2,failure
158,1,unknown
180,1,unknown
635,1,unknown
1353,2,success
740,3,unknown
465,4,unknown
148,1,unknown
721,4,unknown
299,1,unknown
104,2,unknown
327,1,unknown
952,1,other
903,1,unknown
1134,1,unknown
1032,3,failure
150,1,failure
236,1,unknown
245,1,unknown
321,1,unknown
209,1,unknown
1190,1,other
104,5,unknown
108,2,unknown
143,2,unknown
105,4,other
274,3,unknown
1665,3,unknown
548,2,unknown
1691,2,failure
142,4,unknown
350,2,unknown
743,1,unknown
592,4,failure
448,2,failure
214,1,unknown
179,1,unknown
233,1,unknown
245,3,unknown
152,2,unknown
317,5,unknown
1042,2,other
348,3,failure
1036,1,unknown
1091,2,unknown
1006,2,unknown
384,2,unknown
407,1,unknown
709,1,unknown
1022,2,unknown
1101,2,unknown
1232,3,other
342,1,unknown
535,3,failure
142,1,unknown
344,1,failure
125,1,unknown
850,2,unknown
1073,1,unknown
1594,1,failure
450,1,unknown
133,2,unknown
168,1,unknown
324,1,unknown
161,1,unknown
496,1,unknown
111,1,unknown
107,3,unknown
207,2,unknown
223,2,unknown
165,2,failure
82,1,unknown
903,2,failure
282,2,unknown
110,1,unknown
1217,3,unknown
389,2,unknown
171,1,unknown
668,1,unknown
170,3,unknown
953,1,unknown
1038,2,unknown
139,5,failure
264,2,unknown
838,3,unknown
144,4,unknown
78,2,unknown
648,1,other
251,2,other
334,2,unknown
583,1,success
1579,1,failure
443,1,unknown
495,1,unknown
1366,1,unknown
298,4,unknown
1174,1,other
165,3,unknown
1463,2,unknown
667,1,unknown
127,1,unknown
453,1,unknown
700,5,unknown
901,2,unknown
1365,2,failure
299,2,unknown
161,1,unknown
944,1,failure
551,2,unknown
1156,1,failure
678,1,unknown
709,1,unknown
1017,1,other
1095,1,success
452,3,unknown
952,1,failure
997,1,unknown
882,3,unknown
875,2,unknown
526,1,other
594,1,unknown
404,1,failure
367,3,failure
1080,1,unknown
712,1,failure
108,1,unknown
170,5,unknown
378,1,unknown
949,2,other
394,2,unknown
320,3,success
547,2,unknown
314,2,unknown
438,1,unknown
1332,2,unknown
1202,3,unknown
1112,3,unknown
227,5,unknown
860,1,unknown
1550,1,unknown
670,4,success
133,1,unknown
712,4,unknown
194,1,unknown
216,2,unknown
586,1,unknown
392,1,unknown
691,1,unknown
567,1,unknown
904,2,unknown
325,1,unknown
205,1,failure
76,1,unknown
148,1,unknown
97,1,unknown
185,1,unknown
112,1,unknown
241,1,unknown
163,1,unknown
345,1,unknown
163,1,unknown
267,2,unknown
114,2,unknown
1817,3,unknown
120,1,unknown
121,1,unknown
1272,2,unknown
1333,5,unknown
943,3,unknown
146,4,unknown
333,3,unknown
110,2,unknown
274,1,unknown
1348,4,unknown
207,17,unknown
396,3,unknown
100,1,unknown
164,1,unknown
211,1,unknown
243,1,unknown
464,4,unknown
149,2,unknown
158,2,success
137,2,unknown
278,3,unknown
379,5,unknown
204,1,unknown
65,2,unknown
341,2,unknown
621,1,unknown
219,1,unknown
315,1,unknown
104,1,failure
145,1,unknown
229,1,unknown
240,1,unknown
416,1,unknown
307,1,failure
232,4,unknown
124,2,other
107,2,unknown
1288,3,unknown
545,1,unknown
229,2,unknown
93,3,unknown
266,5,unknown
242,5,failure
172,1,unknown
413,3,unknown
163,1,unknown
206,1,unknown
522,4,unknown
159,4,unknown
116,4,unknown
113,1,unknown
158,1,unknown
203,4,unknown
235,2,unknown
160,1,unknown
227,1,failure
202,5,failure
388,3,unknown
124,1,unknown
497,1,unknown
148,1,unknown
444,1,unknown
89,8,unknown
507,3,other
636,2,unknown
961,2,failure
375,1,unknown
510,1,unknown
587,1,unknown
571,1,unknown
244,1,unknown
400,1,unknown
701,1,success
968,1,failure
381,1,failure
571,1,unknown
239,1,unknown
195,1,success
224,1,unknown
739,1,unknown
720,1,unknown
412,1,success
208,1,success
871,1,unknown
297,1,success
231,1,unknown
365,1,success
512,1,unknown
281,1,unknown
335,1,unknown
815,1,other
354,1,success
347,1,unknown
271,1,success
383,1,unknown
368,1,unknown
1277,1,other
354,1,success
841,1,failure
381,1,other
390,1,unknown
465,1,unknown
900,2,failure
779,2,unknown
246,2,unknown
554,1,success
200,1,other
442,1,unknown
237,1,unknown
687,1,success
439,1,unknown
565,1,failure
244,1,unknown
400,1,failure
800,1,unknown
482,1,failure
316,1,failure
526,2,failure
284,3,success
423,2,unknown
209,1,unknown
457,1,success
268,3,unknown
354,1,unknown
309,1,unknown
439,2,unknown
616,1,unknown
278,1,unknown
437,1,success
532,1,unknown
917,1,unknown
242,1,success
430,1,unknown
483,1,success
306,2,unknown
325,1,unknown
551,1,unknown
458,1,unknown
387,3,success
352,1,unknown
359,1,unknown
260,1,unknown
780,1,unknown
580,2,success
258,1,success
376,1,unknown
615,1,unknown
555,2,unknown
951,1,unknown
664,2,unknown
970,1,failure
618,2,unknown
774,2,failure
175,1,unknown
861,2,unknown
